From	To	Species	Gene Name
Q9ULJ7	57182	Homo sapiens	ankyrin repeat domain 50(ANKRD50)
Q9ULJ8	55607	Homo sapiens	protein phosphatase 1 regulatory subunit 9A(PPP1R9A)
Q9Y3M8	90627	Homo sapiens	StAR related lipid transfer domain containing 13(STARD13)
Q9ULJ6	57178	Homo sapiens	zinc finger MIZ-type containing 1(ZMIZ1)
P23378	2731	Homo sapiens	glycine decarboxylase(GLDC)
Q14457	8678	Homo sapiens	beclin 1(BECN1)
P42765	10449	Homo sapiens	acetyl-CoA acyltransferase 2(ACAA2)
P19174	5335	Homo sapiens	phospholipase C gamma 1(PLCG1)
Q8IXW5	79871	Homo sapiens	RNA polymerase II associated protein 2(RPAP2)
Q9NZM3	50618	Homo sapiens	intersectin 2(ITSN2)
Q13838	7919	Homo sapiens	DExD-box helicase 39B(DDX39B)
Q96B02	55284	Homo sapiens	ubiquitin conjugating enzyme E2 W (putative)(UBE2W)
P00480	5009	Homo sapiens	ornithine carbamoyltransferase(OTC)
Q96T23	51773	Homo sapiens	remodeling and spacing factor 1(RSF1)
Q9NZL9	27430	Homo sapiens	methionine adenosyltransferase 2B(MAT2B)
Q8WUX9	91782	Homo sapiens	charged multivesicular body protein 7(CHMP7)
Q8WV99	130617	Homo sapiens	zinc finger AN1-type containing 2B(ZFAND2B)
Q9UHK6	23600	Homo sapiens	alpha-methylacyl-CoA racemase(AMACR)
Q99797	4285	Homo sapiens	mitochondrial intermediate peptidase(MIPEP)
Q99798	50	Homo sapiens	aconitase 2(ACO2)
O60337	10299	Homo sapiens	membrane associated ring-CH-type finger 6(MARCH6)
Q8WV93	246269	Homo sapiens	lactation elevated 1(LACE1)
P23381	7453	Homo sapiens	tryptophanyl-tRNA synthetase(WARS)
Q6PGP7	9652	Homo sapiens	tetratricopeptide repeat domain 37(TTC37)
Q8TDQ7	132789	Homo sapiens	glucosamine-6-phosphate deaminase 2(GNPDA2)
Q06210	2673	Homo sapiens	glutamine--fructose-6-phosphate transaminase 1(GFPT1)
O43242	5709	Homo sapiens	proteasome 26S subunit, non-ATPase 3(PSMD3)
P56589	8504	Homo sapiens	peroxisomal biogenesis factor 3(PEX3)
Q86VN1	51028	Homo sapiens	vacuolar protein sorting 36 homolog(VPS36)
Q7Z2T5	81627	Homo sapiens	tRNA methyltransferase 1 like(TRMT1L)
Q9HBT7	57336	Homo sapiens	zinc finger protein 287(ZNF287)
Q9BX10	54676	Homo sapiens	GTP binding protein 2(GTPBP2)
Q8WV41	257364	Homo sapiens	sorting nexin 33(SNX33)
Q9NS86	55915	Homo sapiens	LanC like 2(LANCL2)
O43741	5565	Homo sapiens	protein kinase AMP-activated non-catalytic subunit beta 2(PRKAB2)
P05408	6447	Homo sapiens	secretogranin V(SCG5)
Q5VV67	23082	Homo sapiens	peroxisome proliferator-activated receptor gamma, coactivator-related 1(PPRC1)
Q96EH3	115416	Homo sapiens	mitochondrial assembly of ribosomal large subunit 1(MALSU1)
O43747	164	Homo sapiens	adaptor related protein complex 1 gamma 1 subunit(AP1G1)
P05026	481	Homo sapiens	ATPase Na+/K+ transporting subunit beta 1(ATP1B1)
O43236	5414	Homo sapiens	septin 4(SEPT4)
Q68CZ2	64759	Homo sapiens	tensin 3(TNS3)
P49257	3998	Homo sapiens	lectin, mannose binding 1(LMAN1)
Q15018	23172	Homo sapiens	family with sequence similarity 175 member B(FAM175B)
P28289	7111	Homo sapiens	tropomodulin 1(TMOD1)
P28288	5825	Homo sapiens	ATP binding cassette subfamily D member 3(ABCD3)
Q9UHA3	51187	Homo sapiens	ribosomal L24 domain containing 1(RSL24D1)
Q13813	6709	Homo sapiens	spectrin alpha, non-erythrocytic 1(SPTAN1)
Q99732	9516	Homo sapiens	lipopolysaccharide induced TNF factor(LITAF)
P49247	22934	Homo sapiens	ribose 5-phosphate isomerase A(RPIA)
Q9NVP1	8886	Homo sapiens	DEAD-box helicase 18(DDX18)
Q9Y450	10767	Homo sapiens	HBS1 like translational GTPase(HBS1L)
Q9ULQ0	57464	Homo sapiens	striatin interacting protein 2(STRIP2)
P56192	4141	Homo sapiens	methionyl-tRNA synthetase(MARS)
Q8TE02	23587	Homo sapiens	elongator acetyltransferase complex subunit 5(ELP5)
Q15937	7633	Homo sapiens	zinc finger protein 79(ZNF79)
P46777	6125	Homo sapiens	ribosomal protein L5(RPL5)
Q9HC38	51031	Homo sapiens	glyoxalase domain containing 4(GLOD4)
Q86VP3	23241	Homo sapiens	phosphofurin acidic cluster sorting protein 2(PACS2)
Q7Z333	23064	Homo sapiens	senataxin(SETX)
Q86VP1	8887	Homo sapiens	Tax1 binding protein 1(TAX1BP1)
Q86VP6	55832	Homo sapiens	cullin associated and neddylation dissociated 1(CAND1)
Q9HBR0	124565	Homo sapiens	solute carrier family 38 member 10(SLC38A10)
Q9H9A5	25904	Homo sapiens	CCR4-NOT transcription complex subunit 10(CNOT10)
P48509	977	Homo sapiens	CD151 molecule (Raph blood group)(CD151)
Q14498	9584	Homo sapiens	RNA binding motif protein 39(RBM39)
Q5JRX3	10531	Homo sapiens	pitrilysin metallopeptidase 1(PITRM1)
Q9H9A6	55631	Homo sapiens	leucine rich repeat containing 40(LRRC40)
Q14494	4779	Homo sapiens	nuclear factor, erythroid 2 like 1(NFE2L1)
O43766	11019	Homo sapiens	lipoic acid synthetase(LIAS)
O43765	6449	Homo sapiens	small glutamine rich tetratricopeptide repeat containing alpha(SGTA)
Q9NVQ4	55179	Homo sapiens	Fas apoptotic inhibitory molecule(FAIM)
P48506	2729	Homo sapiens	glutamate-cysteine ligase catalytic subunit(GCLC)
P08397	3145	Homo sapiens	hydroxymethylbilane synthase(HMBS)
Q49MI3	375298	Homo sapiens	ceramide kinase like(CERKL)
Q9UI14	10567	Homo sapiens	Rab acceptor 1(RABAC1)
Q9UHP3	29761	Homo sapiens	ubiquitin specific peptidase 25(USP25)
Q9UI12	51606	Homo sapiens	ATPase H+ transporting V1 subunit H(ATP6V1H)
Q9NZQ3	51517	Homo sapiens	NCK interacting protein with SH3 domain(NCKIPSD)
Q9UI10	8890	Homo sapiens	eukaryotic translation initiation factor 2B subunit delta(EIF2B4)
O14874	10295	Homo sapiens	branched chain ketoacid dehydrogenase kinase(BCKDK)
Q86VQ6	114112	Homo sapiens	thioredoxin reductase 3(TXNRD3)
P52948	4928	Homo sapiens	nucleoporin 98(NUP98)
Q5GLZ8	26091	Homo sapiens	HECT and RLD domain containing E3 ubiquitin protein ligase 4(HERC4)
Q5VIR6	55275	Homo sapiens	VPS53, GARP complex subunit(VPS53)
O14880	4259	Homo sapiens	microsomal glutathione S-transferase 3(MGST3)
Q99755	8394	Homo sapiens	phosphatidylinositol-4-phosphate 5-kinase type 1 alpha(PIP5K1A)
Q15047	9869	Homo sapiens	SET domain bifurcated 1(SETDB1)
P37198	23636	Homo sapiens	nucleoporin 62(NUP62)
Q15046	3735	Homo sapiens	lysyl-tRNA synthetase(KARS)
P49641	4122	Homo sapiens	mannosidase alpha class 2A member 2(MAN2A2)
Q9NRZ9	3070	Homo sapiens	helicase, lymphoid-specific(HELLS)
Q15042	22930	Homo sapiens	RAB3 GTPase activating protein catalytic subunit 1(RAB3GAP1)
Q15041	23204	Homo sapiens	ADP ribosylation factor like GTPase 6 interacting protein 1(ARL6IP1)
Q6IMN6	65981	Homo sapiens	caprin family member 2(CAPRIN2)
Q9NVR2	55174	Homo sapiens	integrator complex subunit 10(INTS10)
Q7Z7C8	129685	Homo sapiens	TATA-box binding protein associated factor 8(TAF8)
Q99758	21	Homo sapiens	ATP binding cassette subfamily A member 3(ABCA3)
Q6PCB5	222194	Homo sapiens	round spermatid basic protein 1 like(RSBN1L)
Q9NVR5	55172	Homo sapiens	dynein axonemal assembly factor 2(DNAAF2)
P24752	38	Homo sapiens	acetyl-CoA acetyltransferase 1(ACAT1)
Q9ULV1	8322	Homo sapiens	frizzled class receptor 4(FZD4)
P35520	875	Homo sapiens	cystathionine-beta-synthase(CBS)
Q9UHD2	29110	Homo sapiens	TANK binding kinase 1(TBK1)
Q8N475	56884	Homo sapiens	follistatin like 5(FSTL5)
P19623	6723	Homo sapiens	spermidine synthase(SRM)
O43704	27284	Homo sapiens	sulfotransferase family 1B member 1(SULT1B1)
P53597	8802	Homo sapiens	succinate-CoA ligase alpha subunit(SUCLG1)
P56545	1488	Homo sapiens	C-terminal binding protein 2(CTBP2)
O75143	9776	Homo sapiens	autophagy related 13(ATG13)
O15530	5170	Homo sapiens	3-phosphoinositide dependent protein kinase 1(PDPK1)
Q9NRK6	23456	Homo sapiens	ATP binding cassette subfamily B member 10(ABCB10)
Q9BWS9	66005	Homo sapiens	chitinase domain containing 1(CHID1)
Q0P651	80167	Homo sapiens	abhydrolase domain containing 18(ABHD18)
Q96AE7	55761	Homo sapiens	tetratricopeptide repeat domain 17(TTC17)
Q96F63	90324	Homo sapiens	coiled-coil domain containing 97(CCDC97)
O75140	9681	Homo sapiens	DEP domain containing 5(DEPDC5)
P09417	5860	Homo sapiens	quinoid dihydropteridine reductase(QDPR)
Q9ULU8	8618	Homo sapiens	calcium dependent secretion activator(CADPS)
O43709	114049	Homo sapiens	Williams-Beuren syndrome chromosome region 22(WBSCR22)
Q96EU6	88745	Homo sapiens	ribosomal RNA processing 36(RRP36)
Q9UQE7	9126	Homo sapiens	structural maintenance of chromosomes 3(SMC3)
Q9Y496	11127	Homo sapiens	kinesin family member 3A(KIF3A)
Q59EK9	10900	Homo sapiens	RUN domain containing 3A(RUNDC3A)
P53582	23173	Homo sapiens	methionyl aminopeptidase 1(METAP1)
Q6PCD5	55159	Homo sapiens	ring finger and WD repeat domain 3(RFWD3)
Q5SVZ6	79830	Homo sapiens	zinc finger MYM-type containing 1(ZMYM1)
Q8IYB8	6832	Homo sapiens	Suv3 like RNA helicase(SUPV3L1)
Q8IYB7	129563	Homo sapiens	DIS3 like 3'-5' exoribonuclease 2(DIS3L2)
Q9Y490	7094	Homo sapiens	talin 1(TLN1)
Q8IYB3	10250	Homo sapiens	serine and arginine repetitive matrix 1(SRRM1)
Q9NRL2	11177	Homo sapiens	bromodomain adjacent to zinc finger domain 1A(BAZ1A)
P42704	10128	Homo sapiens	leucine rich pentatricopeptide repeat containing(LRPPRC)
O95198	11275	Homo sapiens	kelch like family member 2(KLHL2)
P10599	7295	Homo sapiens	thioredoxin(TXN)
Q6NYC1	23210	Homo sapiens	arginine demethylase and lysine hydroxylase(JMJD6)
P63244	10399	Homo sapiens	receptor for activated C kinase 1(RACK1)
P20749	602	Homo sapiens	B-cell CLL/lymphoma 3(BCL3)
Q96MW5	84342	Homo sapiens	component of oligomeric golgi complex 8(COG8)
Q5TGY1	255104	Homo sapiens	transmembrane and coiled-coil domains 4(TMCO4)
Q02446	6671	Homo sapiens	Sp4 transcription factor(SP4)
P56537	3692	Homo sapiens	eukaryotic translation initiation factor 6(EIF6)
P63241	1984	Homo sapiens	eukaryotic translation initiation factor 5A(EIF5A)
Q9UM54	4646	Homo sapiens	myosin VI(MYO6)
Q96MU6	197320	Homo sapiens	zinc finger protein 778(ZNF778)
Q96N66	79143	Homo sapiens	membrane bound O-acyltransferase domain containing 7(MBOAT7)
Q9Y483	22823	Homo sapiens	metal response element binding transcription factor 2(MTF2)
A1A4V9	90835	Homo sapiens	coiled-coil domain containing 189(CCDC189)
Q9Y484	11152	Homo sapiens	WD repeat domain 45(WDR45)
Q5R3I4	55020	Homo sapiens	tetratricopeptide repeat domain 38(TTC38)
P19105	10627	Homo sapiens	myosin light chain 12A(MYL12A)
P43490	10135	Homo sapiens	nicotinamide phosphoribosyltransferase(NAMPT)
Q9HAD4	55255	Homo sapiens	WD repeat domain 41(WDR41)
Q5S007	120892	Homo sapiens	leucine rich repeat kinase 2(LRRK2)
Q5TGZ0	440574	Homo sapiens	mitochondrial inner membrane organizing system 1(MINOS1)
O75127	26024	Homo sapiens	pentatricopeptide repeat domain 1(PTCD1)
O14827	5924	Homo sapiens	Ras protein specific guanine nucleotide releasing factor 2(RASGRF2)
Q9UHB9	6730	Homo sapiens	signal recognition particle 68(SRP68)
Q96MV1	148534	Homo sapiens	transmembrane protein 56(TMEM56)
Q9UGP8	11231	Homo sapiens	SEC63 homolog, protein translocation regulator(SEC63)
Q9UHB7	27125	Homo sapiens	AF4/FMR2 family member 4(AFF4)
Q9Y3V2	25950	Homo sapiens	RWD domain containing 3(RWDD3)
P46020	5255	Homo sapiens	phosphorylase kinase regulatory subunit alpha 1(PHKA1)
Q8N3Y7	195814	Homo sapiens	short chain dehydrogenase/reductase family 16C, member 5(SDR16C5)
Q86VM9	124245	Homo sapiens	zinc finger CCCH-type containing 18(ZC3H18)
Q96AG3	91137	Homo sapiens	solute carrier family 25 member 46(SLC25A46)
Q8N3Y1	26259	Homo sapiens	F-box and WD repeat domain containing 8(FBXW8)
Q9NRN9	29081	Homo sapiens	methyltransferase like 5(METTL5)
Q7KZ85	6830	Homo sapiens	SPT6 homolog, histone chaperone(SUPT6H)
Q8N895	167465	Homo sapiens	zinc finger protein 366(ZNF366)
Q9NVE7	55229	Homo sapiens	pantothenate kinase 4(PANK4)
Q9NVE5	55230	Homo sapiens	ubiquitin specific peptidase 40(USP40)
A1L157	441631	Homo sapiens	tetraspanin 11(TSPAN11)
Q9BX95	81537	Homo sapiens	sphingosine-1-phosphate phosphatase 1(SGPP1)
Q9BSF8	84280	Homo sapiens	BTB domain containing 10(BTBD10)
P55060	1434	Homo sapiens	chromosome segregation 1 like(CSE1L)
Q9NS00	56913	Homo sapiens	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1(C1GALT1)
Q14432	5139	Homo sapiens	phosphodiesterase 3A(PDE3A)
Q9H4W6	253738	Homo sapiens	early B-cell factor 3(EBF3)
Q96N46	151613	Homo sapiens	tetratricopeptide repeat domain 14(TTC14)
Q8NBX0	51097	Homo sapiens	saccharopine dehydrogenase (putative)(SCCPDH)
Q9ULZ9	4326	Homo sapiens	matrix metallopeptidase 17(MMP17)
Q96F25	199857	Homo sapiens	ALG14, UDP-N-acetylglucosaminyltransferase subunit(ALG14)
O14802	11128	Homo sapiens	RNA polymerase III subunit A(POLR3A)
O94788	8854	Homo sapiens	aldehyde dehydrogenase 1 family member A2(ALDH1A2)
P35573	178	Homo sapiens	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase(AGL)
O95163	8518	Homo sapiens	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein(IKBKAP)
Q2TBE0	143884	Homo sapiens	CWF19-like 2, cell cycle control (S. pombe)(CWF19L2)
P62699	51646	Homo sapiens	yippee like 5(YPEL5)
O95164	5412	Homo sapiens	ubiquitin like 3(UBL3)
Q8TDY2	9821	Homo sapiens	RB1 inducible coiled-coil 1(RB1CC1)
Q6UXN9	80335	Homo sapiens	WD repeat domain 82(WDR82)
Q5TH69	57221	Homo sapiens	ARFGEF family member 3(ARFGEF3)
Q9NVH0	55218	Homo sapiens	exonuclease 3'-5' domain containing 2(EXD2)
Q00266	4143	Homo sapiens	methionine adenosyltransferase 1A(MAT1A)
Q9UHI6	11218	Homo sapiens	DEAD-box helicase 20(DDX20)
P41214	1939	Homo sapiens	eukaryotic translation initiation factor 2D(EIF2D)
Q9H9H4	79720	Homo sapiens	VPS37B, ESCRT-I subunit(VPS37B)
Q8N3S3	57157	Homo sapiens	putative homeodomain transcription factor 2(PHTF2)
P54727	5887	Homo sapiens	RAD23 homolog B, nucleotide excision repair protein(RAD23B)
Q14031	1288	Homo sapiens	collagen type IV alpha 6 chain(COL4A6)
O14815	10753	Homo sapiens	calpain 9(CAPN9)
Q96ER9	79714	Homo sapiens	coiled-coil domain containing 51(CCDC51)
Q8TDX6	55790	Homo sapiens	chondroitin sulfate N-acetylgalactosaminyltransferase 1(CSGALNACT1)
O95155	10277	Homo sapiens	ubiquitination factor E4B(UBE4B)
Q9BX73	83877	Homo sapiens	TM2 domain containing 2(TM2D2)
Q9NVI7	55210	Homo sapiens	ATPase family, AAA domain containing 3A(ATAD3A)
Q8NBZ7	80146	Homo sapiens	UDP-glucuronate decarboxylase 1(UXS1)
Q3MIX3	203054	Homo sapiens	aarF domain containing kinase 5(ADCK5)
Q8N3T6	92293	Homo sapiens	transmembrane protein 132C(TMEM132C)
Q76G19	57595	Homo sapiens	PDZ domain containing 4(PDZD4)
O60774	388714	Homo sapiens	flavin containing monooxygenase 6 pseudogene(FMO6P)
Q14409	2713	Homo sapiens	glycerol kinase 3 pseudogene(GK3P)
Q96F45	84858	Homo sapiens	zinc finger protein 503(ZNF503)
Q5C9Z4	64434	Homo sapiens	nucleolar protein with MIF4G domain 1(NOM1)
Q96SD1	64421	Homo sapiens	DNA cross-link repair 1C(DCLRE1C)
Q96AC1	10979	Homo sapiens	fermitin family member 2(FERMT2)
Q9BWU1	23097	Homo sapiens	cyclin dependent kinase 19(CDK19)
Q9BX63	83990	Homo sapiens	BRCA1 interacting protein C-terminal helicase 1(BRIP1)
Q9NVJ2	55207	Homo sapiens	ADP ribosylation factor like GTPase 8B(ARL8B)
P46060	5905	Homo sapiens	Ran GTPase activating protein 1(RANGAP1)
Q14008	9793	Homo sapiens	cytoskeleton associated protein 5(CKAP5)
Q8N465	728294	Homo sapiens	D-2-hydroxyglutarate dehydrogenase(D2HGDH)
Q96N11	79034	Homo sapiens	chromosome 7 open reading frame 26(C7orf26)
Q8N461	146330	Homo sapiens	F-box and leucine rich repeat protein 16(FBXL16)
O43299	9907	Homo sapiens	adaptor related protein complex 5 zeta 1 subunit(AP5Z1)
O60763	8615	Homo sapiens	USO1 vesicle transport factor(USO1)
Q14012	8536	Homo sapiens	calcium/calmodulin dependent protein kinase I(CAMK1)
Q96N21	146705	Homo sapiens	TEPSIN, adaptor related protein complex 4 accessory protein(TEPSIN)
Q6NUQ4	54867	Homo sapiens	transmembrane protein 214(TMEM214)
O00237	7844	Homo sapiens	ring finger protein 103(RNF103)
P09429	3146	Homo sapiens	high mobility group box 1(HMGB1)
O00231	5717	Homo sapiens	proteasome 26S subunit, non-ATPase 11(PSMD11)
Q5T3U5	89845	Homo sapiens	ATP binding cassette subfamily C member 10(ABCC10)
Q13200	5708	Homo sapiens	proteasome 26S subunit, non-ATPase 2(PSMD2)
Q9NTZ6	10137	Homo sapiens	RNA binding motif protein 12(RBM12)
Q9NTJ5	22908	Homo sapiens	SAC1 suppressor of actin mutations 1-like (yeast)(SACM1L)
Q13572	3705	Homo sapiens	inositol-tetrakisphosphate 1-kinase(ITPK1)
O75962	7204	Homo sapiens	trio Rho guanine nucleotide exchange factor(TRIO)
Q9NP80	50640	Homo sapiens	patatin like phospholipase domain containing 8(PNPLA8)
Q6ZWT7	129642	Homo sapiens	membrane bound O-acyltransferase domain containing 2(MBOAT2)
Q9NTJ3	10051	Homo sapiens	structural maintenance of chromosomes 4(SMC4)
Q8N9R8	286205	Homo sapiens	suppressor of cancer cell invasion(SCAI)
Q9P2D3	54497	Homo sapiens	HEAT repeat containing 5B(HEATR5B)
Q13564	8883	Homo sapiens	NEDD8 activating enzyme E1 subunit 1(NAE1)
O75554	11193	Homo sapiens	WW domain binding protein 4(WBP4)
Q8WUH1	91612	Homo sapiens	churchill domain containing 1(CHURC1)
Q01538	4661	Homo sapiens	myelin transcription factor 1(MYT1)
Q13569	6996	Homo sapiens	thymine DNA glycosylase(TDG)
Q8WUH2	9392	Homo sapiens	transforming growth factor beta receptor associated protein 1(TGFBRAP1)
Q16825	11099	Homo sapiens	protein tyrosine phosphatase, non-receptor type 21(PTPN21)
O75955	10211	Homo sapiens	flotillin 1(FLOT1)
Q9NTI5	23047	Homo sapiens	PDS5 cohesin associated factor B(PDS5B)
Q5T160	57038	Homo sapiens	arginyl-tRNA synthetase 2, mitochondrial(RARS2)
Q13561	10540	Homo sapiens	dynactin subunit 2(DCTN2)
Q99567	4927	Homo sapiens	nucleoporin 88(NUP88)
Q5VWG9	83860	Homo sapiens	TATA-box binding protein associated factor 3(TAF3)
P54577	8565	Homo sapiens	tyrosyl-tRNA synthetase(YARS)
Q9NP92	10884	Homo sapiens	mitochondrial ribosomal protein S30(MRPS30)
P54578	9097	Homo sapiens	ubiquitin specific peptidase 14(USP14)
Q9BQ52	60528	Homo sapiens	elaC ribonuclease Z 2(ELAC2)
P20594	4882	Homo sapiens	natriuretic peptide receptor 2(NPR2)
Q9BR61	84320	Homo sapiens	acyl-CoA binding domain containing 6(ACBD6)
Q9NXZ2	55510	Homo sapiens	DEAD-box helicase 43(DDX43)
Q9H3K2	27069	Homo sapiens	growth hormone inducible transmembrane protein(GHITM)
Q9P2E3	57169	Homo sapiens	zinc finger NFX1-type containing 1(ZNFX1)
Q9BV79	51102	Homo sapiens	mitochondrial trans-2-enoyl-CoA reductase(MECR)
Q86TP1	58497	Homo sapiens	prune exopolyphosphatase(PRUNE1)
P28070	5692	Homo sapiens	proteasome subunit beta 4(PSMB4)
O75569	8575	Homo sapiens	protein activator of interferon induced protein kinase EIF2AK2(PRKRA)
O95786	23586	Homo sapiens	DExD/H-box helicase 58(DDX58)
Q16832	4921	Homo sapiens	discoidin domain receptor tyrosine kinase 2(DDR2)
P07237	5034	Homo sapiens	prolyl 4-hydroxylase subunit beta(P4HB)
O75563	8935	Homo sapiens	src kinase associated phosphoprotein 2(SKAP2)
Q07912	10188	Homo sapiens	tyrosine kinase non receptor 2(TNK2)
Q13206	1662	Homo sapiens	DEAD-box helicase 10(DDX10)
Q8NAT1	84892	Homo sapiens	protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-)(POMGNT2)
Q99571	5025	Homo sapiens	purinergic receptor P2X 4(P2RX4)
Q99570	30849	Homo sapiens	phosphoinositide-3-kinase regulatory subunit 4(PIK3R4)
Q16851	7360	Homo sapiens	UDP-glucose pyrophosphorylase 2(UGP2)
Q9UJA9	59084	Homo sapiens	ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative)(ENPP5)
Q8WZ82	124641	Homo sapiens	ovarian tumor suppressor candidate 2(OVCA2)
Q7Z5U6	348793	Homo sapiens	WD repeat domain 53(WDR53)
Q9BZW5	53346	Homo sapiens	transmembrane 6 superfamily member 1(TM6SF1)
Q9BQ69	28992	Homo sapiens	MACRO domain containing 1(MACROD1)
Q9BQ67	83743	Homo sapiens	glutamate rich WD repeat containing 1(GRWD1)
P39687	8125	Homo sapiens	acidic nuclear phosphoprotein 32 family member A(ANP32A)
Q05586	2902	Homo sapiens	glutamate ionotropic receptor NMDA type subunit 1(GRIN1)
P16157	286	Homo sapiens	ankyrin 1(ANK1)
O15484	726	Homo sapiens	calpain 5(CAPN5)
Q9BV87	27013	Homo sapiens	cyclin Pas1/PHO80 domain containing 1(CNPPD1)
Q05193	1759	Homo sapiens	dynamin 1(DNM1)
P51398	7818	Homo sapiens	death associated protein 3(DAP3)
O15091	9692	Homo sapiens	KIAA0391(KIAA0391)
Q68DH5	92255	Homo sapiens	LMBR1 domain containing 2(LMBRD2)
P14625	7184	Homo sapiens	heat shock protein 90 beta family member 1(HSP90B1)
O95757	22824	Homo sapiens	heat shock protein family A (Hsp70) member 4 like(HSPA4L)
P22307	6342	Homo sapiens	sterol carrier protein 2(SCP2)
Q9UJA2	54675	Homo sapiens	cardiolipin synthase 1(CRLS1)
Q8N9T8	65095	Homo sapiens	KRI1 homolog(KRI1)
Q13216	1161	Homo sapiens	ERCC excision repair 8, CSA ubiquitin ligase complex subunit(ERCC8)
Q13219	5069	Homo sapiens	pappalysin 1(PAPPA)
Q9NP79	51534	Homo sapiens	vesicle trafficking 1(VTA1)
Q9NTW7	55734	Homo sapiens	ZFP64 zinc finger protein(ZFP64)
O75976	1362	Homo sapiens	carboxypeptidase D(CPD)
Q99543	27000	Homo sapiens	DnaJ heat shock protein family (Hsp40) member C2(DNAJC2)
Q13232	4832	Homo sapiens	NME/NM23 nucleoside diphosphate kinase 3(NME3)
Q13231	1118	Homo sapiens	chitinase 1(CHIT1)
Q9NP73	79868	Homo sapiens	ALG13, UDP-N-acetylglucosaminyltransferase subunit(ALG13)
Q6ZSB9	166793	Homo sapiens	zinc finger and BTB domain containing 49(ZBTB49)
Q9BR84	84527	Homo sapiens	zinc finger protein 559(ZNF559)
Q9BQ70	22980	Homo sapiens	transcription factor 25(TCF25)
O75970	8777	Homo sapiens	multiple PDZ domain crumbs cell polarity complex component(MPDZ)
Q6ZP65	92558	Homo sapiens	BICD family like cargo adaptor 1(BICDL1)
P41002	899	Homo sapiens	cyclin F(CCNF)
Q9UNA1	23092	Homo sapiens	Rho GTPase activating protein 26(ARHGAP26)
Q7L099	22902	Homo sapiens	RUN and FYVE domain containing 3(RUFY3)
Q8IYI6	149371	Homo sapiens	exocyst complex component 8(EXOC8)
O75581	4040	Homo sapiens	LDL receptor related protein 6(LRP6)
P14618	5315	Homo sapiens	pyruvate kinase, muscle(PKM)
O75582	9252	Homo sapiens	ribosomal protein S6 kinase A5(RPS6KA5)
Q9BV94	55741	Homo sapiens	ER degradation enhancing alpha-mannosidase like protein 2(EDEM2)
O75586	10001	Homo sapiens	mediator complex subunit 6(MED6)
Q01581	3157	Homo sapiens	3-hydroxy-3-methylglutaryl-CoA synthase 1(HMGCS1)
O95628	4850	Homo sapiens	CCR4-NOT transcription complex subunit 4(CNOT4)
O75153	23277	Homo sapiens	clustered mitochondria homolog(CLUH)
O75151	5253	Homo sapiens	PHD finger protein 2(PHF2)
O75159	9655	Homo sapiens	suppressor of cytokine signaling 5(SOCS5)
Q13530	10955	Homo sapiens	serine incorporator 3(SERINC3)
O15075	9201	Homo sapiens	doublecortin like kinase 1(DCLK1)
Q86TM6	84447	Homo sapiens	synoviolin 1(SYVN1)
Q9HCC0	64087	Homo sapiens	methylcrotonoyl-CoA carboxylase 2(MCCC2)
Q5T124	91544	Homo sapiens	UBX domain protein 11(UBXN11)
Q13523	8899	Homo sapiens	pre-mRNA processing factor 4B(PRPF4B)
Q712K3	54926	Homo sapiens	ubiquitin conjugating enzyme E2 R2(UBE2R2)
Q13526	5300	Homo sapiens	peptidylprolyl cis/trans isomerase, NIMA-interacting 1(PIN1)
O75592	23077	Homo sapiens	MYC binding protein 2, E3 ubiquitin protein ligase(MYCBP2)
Q8IYD8	57697	Homo sapiens	Fanconi anemia complementation group M(FANCM)
Q9HCC9	57732	Homo sapiens	zinc finger FYVE-type containing 28(ZFYVE28)
Q9Y3A3	25843	Homo sapiens	MOB family member 4, phocein(MOB4)
Q9Y3A6	50999	Homo sapiens	transmembrane p24 trafficking protein 5(TMED5)
P21728	1812	Homo sapiens	dopamine receptor D1(DRD1)
Q8NB25	79632	Homo sapiens	family with sequence similarity 184 member A(FAM184A)
O95619	8089	Homo sapiens	YEATS domain containing 4(YEATS4)
Q6UW68	374882	Homo sapiens	transmembrane protein 205(TMEM205)
Q9BPX6	10367	Homo sapiens	mitochondrial calcium uptake 1(MICU1)
O95749	9453	Homo sapiens	geranylgeranyl diphosphate synthase 1(GGPS1)
O75165	23317	Homo sapiens	DnaJ heat shock protein family (Hsp40) member C13(DNAJC13)
O75995	54440	Homo sapiens	SAM and SH3 domain containing 3(SASH3)
A6NNA5	644168	Homo sapiens	dorsal root ganglia homeobox(DRGX)
Q99523	6272	Homo sapiens	sortilin 1(SORT1)
Q07954	4035	Homo sapiens	LDL receptor related protein 1(LRP1)
O15066	9371	Homo sapiens	kinesin family member 3B(KIF3B)
O15068	23263	Homo sapiens	MCF.2 cell line derived transforming sequence like(MCF2L)
Q9HCD6	26115	Homo sapiens	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2(TANC2)
P57078	54101	Homo sapiens	receptor interacting serine/threonine kinase 4(RIPK4)
Q10567	162	Homo sapiens	adaptor related protein complex 1 beta 1 subunit(AP1B1)
