From	To	Species	Gene Name
Q9Y4P8	26100	Homo sapiens	WD repeat domain, phosphoinositide interacting 2(WIPI2)
P49750	56252	Homo sapiens	YLP motif containing 1(YLPM1)
Q9H5V7	64376	Homo sapiens	IKAROS family zinc finger 5(IKZF5)
Q9Y519	25829	Homo sapiens	transmembrane protein 184B(TMEM184B)
O94888	26043	Homo sapiens	UBX domain protein 7(UBXN7)
O94887	9855	Homo sapiens	FERM, ARH/RhoGEF and pleckstrin domain protein 2(FARP2)
P83111	114294	Homo sapiens	lactamase beta(LACTB)
Q68CZ2	64759	Homo sapiens	tensin 3(TNS3)
Q08499	5144	Homo sapiens	phosphodiesterase 4D(PDE4D)
Q15019	4735	Homo sapiens	septin 2(SEPT2)
O43237	1783	Homo sapiens	dynein cytoplasmic 1 light intermediate chain 2(DYNC1LI2)
O94988	10144	Homo sapiens	family with sequence similarity 13 member A(FAM13A)
Q9Y303	51005	Homo sapiens	amidohydrolase domain containing 2(AMDHD2)
O94985	22883	Homo sapiens	calsyntenin 1(CLSTN1)
Q13813	6709	Homo sapiens	spectrin alpha, non-erythrocytic 1(SPTAN1)
Q12955	288	Homo sapiens	ankyrin 3(ANK3)
Q6ZT07	23158	Homo sapiens	TBC1 domain family member 9(TBC1D9)
P15498	7409	Homo sapiens	vav guanine nucleotide exchange factor 1(VAV1)
Q8WTR4	81544	Homo sapiens	glycerophosphodiester phosphodiesterase domain containing 5(GDPD5)
P11229	1128	Homo sapiens	cholinergic receptor muscarinic 1(CHRM1)
Q9NUP9	55327	Homo sapiens	lin-7 homolog C, crumbs cell polarity complex component(LIN7C)
Q6ZNA1	162962	Homo sapiens	zinc finger protein 836(ZNF836)
Q9P2R7	8803	Homo sapiens	succinate-CoA ligase ADP-forming beta subunit(SUCLA2)
Q9C0C7	55626	Homo sapiens	autophagy and beclin 1 regulator 1(AMBRA1)
Q96JI7	80208	Homo sapiens	spastic paraplegia 11 (autosomal recessive)(SPG11)
P56192	4141	Homo sapiens	methionyl-tRNA synthetase(MARS)
Q9C0C9	63893	Homo sapiens	ubiquitin conjugating enzyme E2 O(UBE2O)
Q14596	4077	Homo sapiens	NBR1, autophagy cargo receptor(NBR1)
P23443	6198	Homo sapiens	ribosomal protein S6 kinase B1(RPS6KB1)
Q8IZ73	27079	Homo sapiens	RNA pseudouridylate synthase domain containing 2(RPUSD2)
O95208	22905	Homo sapiens	epsin 2(EPN2)
P42892	1889	Homo sapiens	endothelin converting enzyme 1(ECE1)
Q8WU20	10818	Homo sapiens	fibroblast growth factor receptor substrate 2(FRS2)
Q6ZRS2	10847	Homo sapiens	Snf2 related CREBBP activator protein(SRCAP)
O43765	6449	Homo sapiens	small glutamine rich tetratricopeptide repeat containing alpha(SGTA)
Q7Z6B7	57522	Homo sapiens	SLIT-ROBO Rho GTPase activating protein 1(SRGAP1)
Q9Y5R2	10893	Homo sapiens	matrix metallopeptidase 24(MMP24)
Q9NXR5	55608	Homo sapiens	ankyrin repeat domain 10(ANKRD10)
Q17R31	128387	Homo sapiens	TatD DNase domain containing 3(TATDN3)
Q9HD67	4651	Homo sapiens	myosin X(MYO10)
Q9BVL2	9818	Homo sapiens	nucleoporin 58(NUP58)
Q5MNZ6	56270	Homo sapiens	WD repeat domain 45B(WDR45B)
Q9H2X6	28996	Homo sapiens	homeodomain interacting protein kinase 2(HIPK2)
Q15751	8925	Homo sapiens	HECT and RLD domain containing E3 ubiquitin protein ligase family member 1(HERC1)
P50148	2776	Homo sapiens	G protein subunit alpha q(GNAQ)
Q5VIR6	55275	Homo sapiens	VPS53, GARP complex subunit(VPS53)
Q99755	8394	Homo sapiens	phosphatidylinositol-4-phosphate 5-kinase type 1 alpha(PIP5K1A)
P49641	4122	Homo sapiens	mannosidase alpha class 2A member 2(MAN2A2)
Q6PHR2	25989	Homo sapiens	unc-51 like kinase 3(ULK3)
Q9H251	64072	Homo sapiens	cadherin related 23(CDH23)
Q15042	22930	Homo sapiens	RAB3 GTPase activating protein catalytic subunit 1(RAB3GAP1)
Q9Y520	23215	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
Q9UL51	610	Homo sapiens	hyperpolarization activated cyclic nucleotide gated potassium channel 2(HCN2)
Q9NRZ5	56895	Homo sapiens	1-acylglycerol-3-phosphate O-acyltransferase 4(AGPAT4)
Q6IMN6	65981	Homo sapiens	caprin family member 2(CAPRIN2)
P83436	91949	Homo sapiens	component of oligomeric golgi complex 7(COG7)
Q9UHD2	29110	Homo sapiens	TANK binding kinase 1(TBK1)
Q8N371	79831	Homo sapiens	lysine demethylase 8(KDM8)
O43909	2137	Homo sapiens	exostosin like glycosyltransferase 3(EXTL3)
Q8IUQ4	6477	Homo sapiens	siah E3 ubiquitin protein ligase 1(SIAH1)
O00291	3092	Homo sapiens	huntingtin interacting protein 1(HIP1)
Q6PIL6	80333	Homo sapiens	potassium voltage-gated channel interacting protein 4(KCNIP4)
O75150	9810	Homo sapiens	ring finger protein 40(RNF40)
P19021	5066	Homo sapiens	peptidylglycine alpha-amidating monooxygenase(PAM)
O95319	10659	Homo sapiens	CUGBP, Elav-like family member 2(CELF2)
Q14669	9320	Homo sapiens	thyroid hormone receptor interactor 12(TRIP12)
P19801	26	Homo sapiens	amine oxidase, copper containing 1(AOC1)
Q9Y2T5	9293	Homo sapiens	G protein-coupled receptor 52(GPR52)
P32297	1136	Homo sapiens	cholinergic receptor nicotinic alpha 3 subunit(CHRNA3)
O94952	23014	Homo sapiens	F-box protein 21(FBXO21)
Q96AE7	55761	Homo sapiens	tetratricopeptide repeat domain 17(TTC17)
Q14139	9354	Homo sapiens	ubiquitination factor E4A(UBE4A)
P25054	324	Homo sapiens	APC, WNT signaling pathway regulator(APC)
Q9ULU8	8618	Homo sapiens	calcium dependent secretion activator(CADPS)
O95071	51366	Homo sapiens	ubiquitin protein ligase E3 component n-recognin 5(UBR5)
P53396	47	Homo sapiens	ATP citrate lyase(ACLY)
P38935	3508	Homo sapiens	immunoglobulin mu binding protein 2(IGHMBP2)
Q8WUA4	2976	Homo sapiens	general transcription factor IIIC subunit 2(GTF3C2)
P53582	23173	Homo sapiens	methionyl aminopeptidase 1(METAP1)
Q7RTY0	201232	Homo sapiens	solute carrier family 16 member 13(SLC16A13)
O15417	84629	Homo sapiens	trinucleotide repeat containing 18(TNRC18)
Q9Y490	7094	Homo sapiens	talin 1(TLN1)
Q9Y3X0	26093	Homo sapiens	coiled-coil domain containing 9(CCDC9)
O14917	27253	Homo sapiens	protocadherin 17(PCDH17)
P55010	1983	Homo sapiens	eukaryotic translation initiation factor 5(EIF5)
P34925	6259	Homo sapiens	receptor-like tyrosine kinase(RYK)
Q70EL2	85015	Homo sapiens	ubiquitin specific peptidase 45(USP45)
Q9H3R1	64579	Homo sapiens	N-deacetylase and N-sulfotransferase 4(NDST4)
P40818	9101	Homo sapiens	ubiquitin specific peptidase 8(USP8)
P20645	4074	Homo sapiens	mannose-6-phosphate receptor, cation dependent(M6PR)
Q9P2F6	57569	Homo sapiens	Rho GTPase activating protein 20(ARHGAP20)
A8K855	84455	Homo sapiens	EF-hand calcium binding domain 7(EFCAB7)
Q6NVY1	26275	Homo sapiens	3-hydroxyisobutyryl-CoA hydrolase(HIBCH)
O60688	29799	Homo sapiens	yippee like 1(YPEL1)
Q6ZN57	80108	Homo sapiens	ZFP2 zinc finger protein(ZFP2)
Q6NYC1	23210	Homo sapiens	arginine demethylase and lysine hydroxylase(JMJD6)
O00159	4641	Homo sapiens	myosin IC(MYO1C)
Q07890	6655	Homo sapiens	SOS Ras/Rho guanine nucleotide exchange factor 2(SOS2)
P20749	602	Homo sapiens	B-cell CLL/lymphoma 3(BCL3)
O00468	375790	Homo sapiens	agrin(AGRN)
Q14161	9815	Homo sapiens	GIT ArfGAP 2(GIT2)
Q9UMX0	29979	Homo sapiens	ubiquilin 1(UBQLN1)
Q9H425	84886	Homo sapiens	chromosome 1 open reading frame 198(C1orf198)
P35222	1499	Homo sapiens	catenin beta 1(CTNNB1)
Q15785	10953	Homo sapiens	translocase of outer mitochondrial membrane 34(TOMM34)
Q9HAD4	55255	Homo sapiens	WD repeat domain 41(WDR41)
Q5TBA9	10129	Homo sapiens	FRY microtubule binding protein(FRY)
O75122	23122	Homo sapiens	cytoplasmic linker associated protein 2(CLASP2)
Q5S007	120892	Homo sapiens	leucine rich repeat kinase 2(LRRK2)
Q9NZ32	55860	Homo sapiens	actin-related protein 10 homolog(ACTR10)
O14827	5924	Homo sapiens	Ras protein specific guanine nucleotide releasing factor 2(RASGRF2)
Q5W0V3	57700	Homo sapiens	family with sequence similarity 160 member B1(FAM160B1)
Q14254	2319	Homo sapiens	flotillin 2(FLOT2)
Q8N3Y7	195814	Homo sapiens	short chain dehydrogenase/reductase family 16C, member 5(SDR16C5)
A0AVT1	55236	Homo sapiens	ubiquitin like modifier activating enzyme 6(UBA6)
P49327	2194	Homo sapiens	fatty acid synthase(FASN)
Q9H0E9	10902	Homo sapiens	bromodomain containing 8(BRD8)
Q14156	23167	Homo sapiens	EFR3 homolog A(EFR3A)
Q96RL7	23230	Homo sapiens	vacuolar protein sorting 13 homolog A(VPS13A)
Q6DN90	9922	Homo sapiens	IQ motif and Sec7 domain 1(IQSEC1)
P35240	4771	Homo sapiens	neurofibromin 2(NF2)
Q8N895	167465	Homo sapiens	zinc finger protein 366(ZNF366)
Q2NL67	56965	Homo sapiens	poly(ADP-ribose) polymerase family member 6(PARP6)
O14523	9854	Homo sapiens	C2CD2 like(C2CD2L)
Q9NVE5	55230	Homo sapiens	ubiquitin specific peptidase 40(USP40)
Q6UWP2	79154	Homo sapiens	dehydrogenase/reductase 11(DHRS11)
Q68EA5	126295	Homo sapiens	zinc finger protein 57(ZNF57)
O00178	9567	Homo sapiens	GTP binding protein 1(GTPBP1)
Q92597	10397	Homo sapiens	N-myc downstream regulated 1(NDRG1)
Q9BUI4	10623	Homo sapiens	RNA polymerase III subunit C(POLR3C)
Q08289	783	Homo sapiens	calcium voltage-gated channel auxiliary subunit beta 2(CACNB2)
Q9Y597	51133	Homo sapiens	potassium channel tetramerization domain containing 3(KCTD3)
Q9UMZ2	11276	Homo sapiens	synergin gamma(SYNRG)
Q8WXE9	85439	Homo sapiens	stonin 2(STON2)
Q9Y6W3	23473	Homo sapiens	calpain 7(CAPN7)
Q9H4W6	253738	Homo sapiens	early B-cell factor 3(EBF3)
Q6ZV89	400745	Homo sapiens	SH2 domain containing 5(SH2D5)
Q96N46	151613	Homo sapiens	tetratricopeptide repeat domain 14(TTC14)
Q9ULZ9	4326	Homo sapiens	matrix metallopeptidase 17(MMP17)
Q9BQA5	25988	Homo sapiens	histone H4 transcription factor(HINFP)
Q8N3R3	285343	Homo sapiens	T-cell activation inhibitor, mitochondrial(TCAIM)
Q9BY50	90701	Homo sapiens	SEC11 homolog C, signal peptidase complex subunit(SEC11C)
Q6ZUX7	10184	Homo sapiens	lipoma HMGIC fusion partner-like 2(LHFPL2)
Q9UBT7	8727	Homo sapiens	catenin alpha like 1(CTNNAL1)
Q9BXT4	56165	Homo sapiens	tudor domain containing 1(TDRD1)
Q6SZW1	23098	Homo sapiens	sterile alpha and TIR motif containing 1(SARM1)
Q13615	8897	Homo sapiens	myotubularin related protein 3(MTMR3)
P53355	1612	Homo sapiens	death associated protein kinase 1(DAPK1)
Q9Y2X7	28964	Homo sapiens	GIT ArfGAP 1(GIT1)
Q8NDA8	727957	Homo sapiens	maestro heat like repeat family member 1(MROH1)
P78356	8396	Homo sapiens	phosphatidylinositol-5-phosphate 4-kinase type 2 beta(PIP4K2B)
Q9H0E2	54472	Homo sapiens	toll interacting protein(TOLLIP)
P62699	51646	Homo sapiens	yippee like 5(YPEL5)
O95359	10579	Homo sapiens	transforming acidic coiled-coil containing protein 2(TACC2)
Q8TDY2	9821	Homo sapiens	RB1 inducible coiled-coil 1(RB1CC1)
Q9H477	64080	Homo sapiens	ribokinase(RBKS)
Q5TH69	57221	Homo sapiens	ARFGEF family member 3(ARFGEF3)
P00915	759	Homo sapiens	carbonic anhydrase 1(CA1)
Q8WXD9	57524	Homo sapiens	CASK interacting protein 1(CASKIN1)
P40855	5824	Homo sapiens	peroxisomal biogenesis factor 19(PEX19)
P41214	1939	Homo sapiens	eukaryotic translation initiation factor 2D(EIF2D)
P00519	25	Homo sapiens	ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)
Q9NQL2	58528	Homo sapiens	Ras related GTP binding D(RRAGD)
Q8NA47	160762	Homo sapiens	coiled-coil domain containing 63(CCDC63)
Q92574	7248	Homo sapiens	tuberous sclerosis 1(TSC1)
Q9P2J3	55958	Homo sapiens	kelch like family member 9(KLHL9)
Q92575	23190	Homo sapiens	UBX domain protein 4(UBXN4)
Q6Q4G3	206338	Homo sapiens	laeverin(LVRN)
Q13620	8450	Homo sapiens	cullin 4B(CUL4B)
O43933	5189	Homo sapiens	peroxisomal biogenesis factor 1(PEX1)
Q9UBS9	51430	Homo sapiens	SUN domain containing ossification factor(SUCO)
F5GYI3	390595	Homo sapiens	ubiquitin associated protein 1 like(UBAP1L)
P17036	7551	Homo sapiens	zinc finger protein 3(ZNF3)
Q00325	5250	Homo sapiens	solute carrier family 25 member 3(SLC25A3)
Q8TCT6	121665	Homo sapiens	signal peptide peptidase like 3(SPPL3)
Q9Y2W6	11022	Homo sapiens	tudor and KH domain containing(TDRKH)
Q96JN8	84461	Homo sapiens	neuralized E3 ubiquitin protein ligase 4(NEURL4)
P46821	4131	Homo sapiens	microtubule associated protein 1B(MAP1B)
Q66K14	23061	Homo sapiens	TBC1 domain family member 9B(TBC1D9B)
Q9NVI7	55210	Homo sapiens	ATPase family, AAA domain containing 3A(ATAD3A)
O14967	1047	Homo sapiens	calmegin(CLGN)
Q8NBZ7	80146	Homo sapiens	UDP-glucuronate decarboxylase 1(UXS1)
Q9NPI1	29117	Homo sapiens	bromodomain containing 7(BRD7)
Q6P1N0	54862	Homo sapiens	coiled-coil and C2 domain containing 1A(CC2D1A)
Q9Y297	8945	Homo sapiens	beta-transducin repeat containing E3 ubiquitin protein ligase(BTRC)
P35269	2962	Homo sapiens	general transcription factor IIF subunit 1(GTF2F1)
Q8WXG6	8567	Homo sapiens	MAP kinase activating death domain(MADD)
Q8N3T6	92293	Homo sapiens	transmembrane protein 132C(TMEM132C)
Q9NWD8	55069	Homo sapiens	transmembrane protein 248(TMEM248)
O96008	10452	Homo sapiens	translocase of outer mitochondrial membrane 40(TOMM40)
Q9UG63	10061	Homo sapiens	ATP binding cassette subfamily F member 2(ABCF2)
Q3ZCX4	374900	Homo sapiens	zinc finger protein 568(ZNF568)
Q6ZMW2	158431	Homo sapiens	zinc finger protein 782(ZNF782)
Q92545	23505	Homo sapiens	transmembrane protein 131(TMEM131)
Q9UNX4	10885	Homo sapiens	WD repeat domain 3(WDR3)
Q14409	2713	Homo sapiens	glycerol kinase 3 pseudogene(GK3P)
Q9UKJ3	23131	Homo sapiens	G-patch domain containing 8(GPATCH8)
P23508	4163	Homo sapiens	mutated in colorectal cancers(MCC)
Q92542	23385	Homo sapiens	nicastrin(NCSTN)
Q5C9Z4	64434	Homo sapiens	nucleolar protein with MIF4G domain 1(NOM1)
Q7Z698	200734	Homo sapiens	sprouty related EVH1 domain containing 2(SPRED2)
Q14117	1807	Homo sapiens	dihydropyrimidinase(DPYS)
Q8NHP6	158747	Homo sapiens	motile sperm domain containing 2(MOSPD2)
Q96SD1	64421	Homo sapiens	DNA cross-link repair 1C(DCLRE1C)
Q96JQ0	8642	Homo sapiens	dachsous cadherin-related 1(DCHS1)
Q86YT6	57534	Homo sapiens	mindbomb E3 ubiquitin protein ligase 1(MIB1)
P43304	2820	Homo sapiens	glycerol-3-phosphate dehydrogenase 2(GPD2)
Q7Z6Z7	10075	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
P54886	5832	Homo sapiens	aldehyde dehydrogenase 18 family member A1(ALDH18A1)
Q96N11	79034	Homo sapiens	chromosome 7 open reading frame 26(C7orf26)
Q14517	2195	Homo sapiens	FAT atypical cadherin 1(FAT1)
Q8NFG4	201163	Homo sapiens	folliculin(FLCN)
Q03431	5745	Homo sapiens	parathyroid hormone 1 receptor(PTH1R)
Q9UBU8	10933	Homo sapiens	mortality factor 4 like 1(MORF4L1)
Q14206	10231	Homo sapiens	regulator of calcineurin 2(RCAN2)
Q14204	1778	Homo sapiens	dynein cytoplasmic 1 heavy chain 1(DYNC1H1)
Q8N122	57521	Homo sapiens	regulatory associated protein of MTOR complex 1(RPTOR)
Q9NXJ5	54858	Homo sapiens	pyroglutamyl-peptidase I(PGPEP1)
Q6NUQ4	54867	Homo sapiens	transmembrane protein 214(TMEM214)
O94921	5218	Homo sapiens	cyclin dependent kinase 14(CDK14)
P78344	1982	Homo sapiens	eukaryotic translation initiation factor 4 gamma 2(EIF4G2)
Q9UBU6	51439	Homo sapiens	family with sequence similarity 8 member A1(FAM8A1)
